measurementID,measurementType,measurementValue,measurementUnit,measurementDeterminedDate,measurementDeterminedBy,measurementMethod,measurementRemarks,eventID
NSD10S-20220511-S08,Assimilable P,12.32,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD10S-20220511
NSD10S-20220511-S09,Soil Organic Matter,3.33,???,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD10S-20220511
NSD10S-20220511-S10,Ratio C:N,14.86,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD10S-20220511
NSD10S-20220511-S11,Sand,55.6,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD10S-20220511
NSD10S-20220511-S12,Slime,14.8,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD10S-20220511
NSD10S-20220511-S13,Clay,29.6,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD10S-20220511
NSD10S-20220511-S14,Field capacity,26.63,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD10S-20220511
NSD11S-20220511-S01,pH KCl,6.22,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S02,pH,6.9,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S03,Conductivity,132,microS/cm,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S04,Sulphate,0,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S05,Bicarbonate,78,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S06,Total N,0.14,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S07,Assimilable K,231.4,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S08,Assimilable P,7.58,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S09,Soil Organic Matter,2.38,???,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S10,Ratio C:N,9.86,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S11,Sand,54.1,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S12,Slime,19.4,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S13,Clay,29.2,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD11S-20220511-S14,Field capacity,24.72,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD11S-20220511
NSD12S-20220511-S01,pH KCl,5.86,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD12S-20220511
NSD12S-20220511-S02,pH,6.6,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD12S-20220511
NSD12S-20220511-S03,Conductivity,189,microS/cm,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD12S-20220511
NSD12S-20220511-S04,Sulphate,3,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD12S-20220511
NSD12S-20220511-S05,Bicarbonate,114,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD12S-20220511
NSD12S-20220511-S06,Total N,0.24,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD12S-20220511
NSD12S-20220511-S07,Assimilable K,241.4,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD12S-20220511
NSD12S-20220511-S08,Assimilable P,8.97,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD12S-20220511
NSD12S-20220511-S09,Soil Organic Matter,9.97,???,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD12S-20220511
NSD12S-20220511-S10,Ratio C:N,24.1,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD12S-20220511
NSD12S-20220511-S11,Sand,60.1,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD12S-20220511
NSD12S-20220511-S12,Slime,15,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD12S-20220511
NSD12S-20220511-S13,Clay,24.9,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD12S-20220511
NSD12S-20220511-S14,Field capacity,35.72,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD12S-20220511
NSH01S-20220511-S01,pH KCl,5.97,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH01S-20220511
NSH01S-20220511-S02,pH,6.5,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH01S-20220511
NSH01S-20220511-S03,Conductivity,105,microS/cm,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH01S-20220511
NSH01S-20220511-S04,Sulphate,7,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH01S-20220511
NSH01S-20220511-S05,Bicarbonate,46,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH01S-20220511
NSH01S-20220511-S06,Total N,0.13,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH01S-20220511
NSH01S-20220511-S07,Assimilable K,165.11,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH01S-20220511
NSH01S-20220511-S08,Assimilable P,0.1,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH01S-20220511
NSH01S-20220511-S09,Soil Organic Matter,3.25,???,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH01S-20220511
NSH01S-20220511-S10,Ratio C:N,14.5,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH01S-20220511
NSH01S-20220511-S11,Sand,57.3,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH01S-20220511
NSH01S-20220511-S12,Slime,9.5,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH01S-20220511
NSH01S-20220511-S13,Clay,33.2,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH01S-20220511
NSH01S-20220511-S14,Field capacity,22.84,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH01S-20220511
NSH02S-20220511-S01,pH KCl,5.88,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH02S-20220511
NSH02S-20220511-S02,pH,6.8,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH02S-20220511
NSH02S-20220511-S03,Conductivity,287,microS/cm,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH02S-20220511
NSH02S-20220511-S04,Sulphate,5,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH02S-20220511
NSH02S-20220511-S05,Bicarbonate,160,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH02S-20220511
NSH02S-20220511-S06,Total N,0.21,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH02S-20220511
NSH02S-20220511-S07,Assimilable K,217.86,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH02S-20220511
NSH02S-20220511-S08,Assimilable P,0.1,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH02S-20220511
NSH02S-20220511-S09,Soil Organic Matter,5.12,???,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH02S-20220511
NSH02S-20220511-S10,Ratio C:N,14.14,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH02S-20220511
NSH02S-20220511-S11,Sand,57.3,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH02S-20220511
NSH02S-20220511-S12,Slime,9.5,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH02S-20220511
NSH02S-20220511-S13,Clay,33.2,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH02S-20220511
NSH02S-20220511-S14,Field capacity,29.96,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH02S-20220511
NSH03S-20220511-S01,pH KCl,5.92,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH03S-20220511
NSH03S-20220511-S02,pH,6.8,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH03S-20220511
NSH03S-20220511-S03,Conductivity,249,microS/cm,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH03S-20220511
NSH03S-20220511-S04,Sulphate,5,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH03S-20220511
NSH03S-20220511-S05,Bicarbonate,132,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH03S-20220511
NSH03S-20220511-S06,Total N,0.16,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH03S-20220511
NSH03S-20220511-S07,Assimilable K,152.14,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH03S-20220511
NSH03S-20220511-S08,Assimilable P,0.1,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH03S-20220511
NSH03S-20220511-S09,Soil Organic Matter,4.05,???,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH03S-20220511
NSH03S-20220511-S10,Ratio C:N,14.68,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH03S-20220511
NSH03S-20220511-S11,Sand,52.4,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH03S-20220511
NSH03S-20220511-S12,Slime,14.3,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH03S-20220511
NSH03S-20220511-S13,Clay,33.3,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH03S-20220511
NSH03S-20220511-S14,Field capacity,29.78,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH03S-20220511
NSH04S-20220511-S01,pH KCl,6.01,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH04S-20220511
NSH04S-20220511-S02,pH,6.8,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH04S-20220511
NSH04S-20220511-S03,Conductivity,251,microS/cm,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH04S-20220511
NSH04S-20220511-S04,Sulphate,0,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH04S-20220511
NSH04S-20220511-S05,Bicarbonate,144,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH04S-20220511
NSH04S-20220511-S06,Total N,0.23,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH04S-20220511
NSH04S-20220511-S07,Assimilable K,240.24,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH04S-20220511
NSH04S-20220511-S08,Assimilable P,0.1,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH04S-20220511
NSH04S-20220511-S09,Soil Organic Matter,5.59,???,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH04S-20220511
NSH04S-20220511-S10,Ratio C:N,14.1,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH04S-20220511
NSH04S-20220511-S11,Sand,60.3,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH04S-20220511
NSH04S-20220511-S12,Slime,10,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH04S-20220511
NSH04S-20220511-S13,Clay,29.7,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH04S-20220511
NSH04S-20220511-S14,Field capacity,32.12,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH04S-20220511
NSH05S-20220511-S01,pH KCl,6.06,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH05S-20220511
NSH05S-20220511-S02,pH,6.8,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH05S-20220511
NSH05S-20220511-S03,Conductivity,270,microS/cm,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH05S-20220511
NSH05S-20220511-S04,Sulphate,2.7,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH05S-20220511
NSH05S-20220511-S05,Bicarbonate,136,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH05S-20220511
NSH05S-20220511-S06,Total N,0.16,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH05S-20220511
NSH05S-20220511-S07,Assimilable K,180.17,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH05S-20220511
NSH05S-20220511-S08,Assimilable P,0.1,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH05S-20220511
NSH05S-20220511-S09,Soil Organic Matter,4.46,???,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH05S-20220511
NSH05S-20220511-S10,Ratio C:N,16.17,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH05S-20220511
NSH05S-20220511-S11,Sand,55.4,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH05S-20220511
NSH05S-20220511-S12,Slime,9.9,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH05S-20220511
NSH05S-20220511-S13,Clay,34.7,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH05S-20220511
NSH05S-20220511-S14,Field capacity,27.55,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH05S-20220511
NSH06S-20220511-S01,pH KCl,5.83,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH06S-20220511
NSH06S-20220511-S02,pH,6.8,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH06S-20220511
NSH06S-20220511-S03,Conductivity,375,microS/cm,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH06S-20220511
NSH06S-20220511-S04,Sulphate,9,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH06S-20220511
NSH06S-20220511-S05,Bicarbonate,193,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH06S-20220511
NSH06S-20220511-S06,Total N,0.2,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH06S-20220511
NSH06S-20220511-S07,Assimilable K,239.68,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH06S-20220511
NSH06S-20220511-S08,Assimilable P,0.1,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH06S-20220511
NSH06S-20220511-S09,Soil Organic Matter,6.91,???,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH06S-20220511
NSH06S-20220511-S10,Ratio C:N,20.04,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH06S-20220511
NSH06S-20220511-S11,Sand,61,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH06S-20220511
NSH06S-20220511-S12,Slime,9.7,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH06S-20220511
NSH06S-20220511-S13,Clay,29.3,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH06S-20220511
NSH06S-20220511-S14,Field capacity,33.1,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH06S-20220511
NSH07S-20220511-S01,pH KCl,5.95,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH07S-20220511
NSH07S-20220511-S02,pH,6.9,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH07S-20220511
NSH07S-20220511-S03,Conductivity,202,microS/cm,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH07S-20220511
NSH07S-20220511-S04,Sulphate,2.8,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH07S-20220511
NSH07S-20220511-S05,Bicarbonate,119,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH07S-20220511
NSH07S-20220511-S06,Total N,0.18,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH07S-20220511
NSH07S-20220511-S07,Assimilable K,174.4,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH07S-20220511
NSH07S-20220511-S08,Assimilable P,8.19,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH07S-20220511
NSH07S-20220511-S09,Soil Organic Matter,5.1,???,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH07S-20220511
NSH07S-20220511-S10,Ratio C:N,16.43,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH07S-20220511
NSH07S-20220511-S11,Sand,57.7,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH07S-20220511
NSH07S-20220511-S12,Slime,14.1,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH07S-20220511
NSH07S-20220511-S13,Clay,28.2,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH07S-20220511
NSH07S-20220511-S14,Field capacity,25.5,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH07S-20220511
NSH08S-20220511-S01,pH KCl,6.06,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSH08S-20220511
